credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,default
0,0.7470584267570571,-0.7248115511721399,0.39853520900082795,0.2854111570056717,-0.536742890285844,False
5,-1.548297267733667,-0.07396289278437036,-2.1617677971076716,-1.6292432951790685,-1.0807774928355596,True
0,-0.5604814212978252,-1.0096453291006018,-0.20790874945727708,-0.35280699372257507,-0.5862005814267273,False
0,0.42702361095011504,-0.9381366879172472,0.21507253947496047,0.2854111570056717,-0.4213416109571164,False
1,-1.9796335600146941,-1.0487276021868066,-2.321197589813905,0.9236293077339185,-0.10810956706485592,False
0,0.8563462984349748,-0.23083710059409115,0.7717108037097201,-1.6292432951790685,0.9799596380345754,False
1,-0.36979028024936395,-0.2464004986248273,-0.06717367210848013,0.9236293077339185,1.3921070642086024,False
4,-0.6032822236601709,0.6561861021583894,-0.9808451150890015,-0.9910251444508218,-1.5258967131035088,True
0,-0.8592603797770638,-1.026157122897265,-0.8241504272201529,-0.35280699372257507,0.6337558000483927,False
0,0.870051035764882,-0.5160717132830518,1.1114694387740087,-1.6292432951790685,-3.1415146237056946,False
5,0.04563482821579598,1.5299704003180012,0.3455090569077657,1.561847458462165,0.0402635063577938,True
1,0.9218991881658747,0.24727305299088467,1.4272649058205937,0.2854111570056717,-0.025680081830050522,False
1,-0.5057234604798513,-0.25801369623928583,-1.027608768730053,-0.9910251444508218,-1.8226428599488083,False
1,0.4502095082244881,-0.2109115218963643,0.572663065303621,0.2854111570056717,0.007291712263871639,False
0,-0.8795764180060943,-0.9062553438431802,-0.3835904647303627,-1.6292432951790685,-0.3553980227692721,False
0,-0.6177773477418884,-0.3428042967772757,-0.34861444738655406,-0.9910251444508218,0.10620709454563812,False
0,0.999042659499922,-1.050699064715656,0.6700871190752792,-0.9910251444508218,-0.520256993238883,False
1,0.17433168392502876,-0.05844331967883947,-0.7728192396067114,-0.9910251444508218,1.4745365494434077,False
5,-0.9839794820960269,1.1923479960938346,-0.8774009292512874,-0.35280699372257507,-0.17405315525270024,True
0,0.2125863935667161,-0.26464713309824933,1.4004355213710775,0.9236293077339185,-0.93240441941291,False
2,-0.47998000420801457,-0.04977013045422891,0.035907437192284807,2.200065609190412,0.48538272662574294,False
4,-1.0910926154835994,0.37097623368598276,-1.5124242076542884,-2.2674614459073155,-2.597480021155979,True
1,0.6889280956629145,0.4296531451539726,1.5558164622954227,0.2854111570056717,0.6502416970953537,False
2,0.02778077061912619,0.1340097278733818,-0.39256346933839337,0.9236293077339185,1.4580506523964467,False
